2026-04-18 15:27:55 | INFO     | conftest | Browser launched: CHROME
2026-04-18 15:27:58 | INFO     | conftest | Navigated to base URL: https://opensource-demo.orangehrmlive.com/web/index.php/auth/login
2026-04-18 15:27:58 | INFO     | pages.login_page | Entering username: 'Admin'
2026-04-18 15:27:59 | INFO     | pages.login_page | Entering password
2026-04-18 15:27:59 | INFO     | pages.login_page | Clicking Login button
2026-04-18 15:28:00 | INFO     | test_tc10_claim_request | TC10 | Logged in
2026-04-18 15:28:00 | INFO     | pages.claim_page | Navigating to Claim module
2026-04-18 15:28:01 | INFO     | pages.claim_page | Clicking Submit Claim
2026-04-18 15:28:02 | INFO     | test_tc10_claim_request | TC10 | On Submit Claim page
2026-04-18 15:28:02 | INFO     | pages.claim_page | Selecting claim event: 'Travel'
2026-04-18 15:28:04 | INFO     | pages.claim_page | Selecting currency: 'USD - United States Dollar'
2026-04-18 15:28:04 | INFO     | pages.claim_page | Entering remarks: 'Automated test claim request'
2026-04-18 15:28:04 | INFO     | pages.claim_page | Submitting claim request
2026-04-18 15:28:06 | INFO     | test_tc10_claim_request | TC10 | Claim form submitted
2026-04-18 15:28:06 | INFO     | test_tc10_claim_request | TC10 | Claim submitted and confirmed successfully
2026-04-18 15:28:06 | INFO     | conftest | Closing browser
